state,ratio
Alabama,544798
Alaska,243848
Arizona,661702
Arkansas,502967
California,718404
Colorado,639860
Connecticut,509327
Delaware,324588
Florida,740611
Georgia,663589
Hawaii,353968
Idaho,446516
Illinois,633591
Indiana,612020
Iowa,525845
Kansas,485552
Kentucky,558459
Louisiana,581099
Maine,336053
Maryland,604568
Massachusetts,626591
Michigan,624179
Minnesota,563963
Mississippi,496024
Missouri,613743
Montana,356259
Nebraska,386882
Nevada,513359
New Hampshire,339928
New Jersey,634442
New Mexico,419366
New York,670812
North Carolina,699206
North Dakota,254021
Ohio,649394
Oklahoma,565282
Oregon,602534
Pennsylvania,640099
Rhode Island,264840
South Carolina,572079
South Dakota,294886
Tennessee,620834
Texas,763050
Utah,534326
Vermont,207996
Virginia,656578
Washington,634574
West Virginia,358435
Wisconsin,582243
Wyoming,192920